Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
Ryan Mathews,LAC,RB,16,471,29.4,42.4,60.5,7,66,67.5,184.4,39.2
Nick Foles,PHI,QB,13,702,54,63.6,8.1,0,53.3,53.3,259.74,37
Jamaal Charles,KC,RB,15,845,56.3,78.3,30.7,12.3,38.9,43,308,36.4
Edwin Baker,CLE,RB,3,97,32.3,51.3,44.3,9.3,52.6,53.6,34.8,35.9
Peyton Manning,DEN,QB,16,1156,72.2,95.8,2.8,0,59.8,59.8,409.98,35.5
Stevan Ridley,NE,RB,14,333,23.8,27.8,53.5,3.6,56.5,57.1,117.5,35.3
Ahmad Bradshaw,IND,RB,3,102,34,29.9,40.2,7.8,47.1,48,34.8,34.1
Marshawn Lynch,SEA,RB,16,711,44.4,70.3,42.3,6.2,47.4,48.5,239.3,33.7
Knowshon Moreno,DEN,RB,16,703,43.9,58.2,34.3,10.5,42.8,44.8,236.6,33.7
Donald Brown,IND,RB,16,373,23.3,34.9,27.3,9.4,34.6,36.7,123.1,33
Brandon Jacobs,NYG,RB,7,143,20.4,18.4,40.6,4.9,42,45.5,47.1,32.9
Jonathan Grimes,HOU,RB,2,58,29,46,36.2,10.3,46.6,46.6,18.9,32.6
Josh McCown,CHI,QB,8,421,52.6,39.8,3.1,0,56.3,56.3,136.06,32.3
Drew Brees,NO,QB,16,1111,69.4,98.6,3.2,0,61.7,61.7,357.68,32.2
LeSean McCoy,PHI,RB,16,872,54.5,79.1,36,7.3,42,43.3,278.6,31.9
CJ Spiller,BUF,RB,15,389,25.9,33.5,51.7,10.5,60.4,62.2,122.4,31.5
Andre Ellington,ARI,RB,15,405,27,37.4,29.1,14.1,38.8,43.2,126.3,31.2
Michael Vick,PHI,QB,7,325,46.4,29.5,11.1,0,54.5,54.5,101,31.1
Chris Ivory,NYJ,RB,15,331,22.1,31.5,55,2.1,55.6,57.1,102.3,30.9
Eddie Lacy,GB,RB,15,679,45.3,60.5,41.8,6.5,47,48.3,207.5,30.6
DeMarco Murray,DAL,RB,14,671,47.9,67.3,32.3,9.8,40.2,42.2,205.1,30.6
Reggie Bush,DET,RB,14,611,43.6,53.8,36.5,13.1,45.3,49.6,185.2,30.3
Adrian Peterson,MIN,RB,14,674,48.1,64.7,41.4,5.9,45.7,47.3,203.7,30.2
Danny Woodhead,LAC,RB,16,491,30.7,44.2,21.6,17.7,37.1,39.3,147.4,30
Shane Vereen,NE,RB,8,294,36.8,47,15,23.5,31,38.4,87.5,29.8
Joique Bell,DET,RB,16,554,34.6,48.8,30,12.5,39.5,42.4,163.7,29.5
Cam Newton,CAR,QB,16,1014,63.4,98.5,10.9,0,57.6,57.6,297.66,29.4
DeAngelo Williams,CAR,RB,15,470,31.3,45.7,42.8,7.7,48.3,50.4,137.6,29.3
Aaron Rodgers,GB,QB,9,582,64.7,51.9,5.2,0,55,55,169.44,29.1
Bobby Rainey,TB,RB,16,327,20.4,31.6,45.9,5.8,50.8,52,95.2,29.1
Jimmy Graham,NO,TE,16,754,47.1,66.9,0,18.8,11.4,18.8,217.5,28.8
Darren Sproles,NO,RB,15,357,23.8,31.7,14.8,24.9,34.7,39.8,102.4,28.7
Matt Forte,CHI,RB,16,928,58,87.8,31,10.2,39.1,41.3,263.3,28.4
Tony Romo,DAL,QB,15,919,61.3,92.2,2.2,0,60.4,60.4,260.92,28.4
Fred Jackson,BUF,RB,16,663,41.4,57.1,31.2,9.8,38.2,41,187.1,28.2
Alfred Morris,WAS,RB,16,604,37.8,52.8,45.7,2,47.2,47.7,169.3,28
Andrew Luck,IND,QB,16,1047,65.4,97.9,6,0,60.5,60.5,292.58,27.9
Russell Wilson,SEA,QB,16,973,60.8,96.1,9.9,0,51.7,51.7,270.18,27.8
Zac Stacy,LAR,RB,14,566,40.4,56.4,44.2,6.2,48.8,50.4,157.4,27.8
Steven Jackson,ATL,RB,12,417,34.8,38.7,37.4,11.8,45.3,49.2,115.3,27.6
Rashard Mendenhall,ARI,RB,15,459,30.6,42.3,47.3,4.6,51.2,51.9,126.1,27.5
Colin Kaepernick,SF,QB,16,969,60.6,97.8,9.5,0,52.4,52.4,264.28,27.3
Giovani Bernard,CIN,RB,16,613,38.3,54.2,27.7,11.6,36.9,39.3,166.9,27.2
Dwayne Allen,IND,TE,1,30,30,23.6,0,6.7,3.3,6.7,8,26.7
Kyle Orton,DAL,QB,3,78,26,7.8,1.3,0,66.7,66.7,20.72,26.6
Jay Cutler,CHI,QB,11,636,57.8,60.2,3.6,0,59.6,59.6,168.56,26.5
Arian Foster,HOU,RB,8,327,40.9,49.8,37,10.7,43.7,47.7,86.5,26.5
Sam Bradford,LAR,QB,7,450,64.3,98.7,3.3,0,61.6,61.6,118.58,26.4
Brian Hoyer,CLE,QB,3,152,50.7,43.1,3.9,0,67.1,67.1,40.2,26.4
Philip Rivers,LAC,QB,16,1098,68.6,98.9,2.6,0,52.1,52.1,287.42,26.2
Alex Smith,KC,QB,15,978,65.2,90.6,7.8,0.1,59.8,59.8,253.22,25.9
Andy Dalton,CIN,QB,16,1117,69.8,98.7,5.5,0,57.9,57.9,288.14,25.8
Le'Veon Bell,PIT,RB,13,677,52.1,64.4,36,9.7,42.7,45.8,171.9,25.4
Marvin Jones,CIN,WR,16,542,33.9,47.9,1.5,14.8,10.9,16.2,137.7,25.4
Josh Gordon,CLE,WR,14,899,64.2,93.1,0.6,17.7,10.2,18.2,227.4,25.3
Rashad Jennings,OAK,RB,15,548,36.5,52.9,29.7,8.6,36.3,38.3,138.5,25.3
Jake Locker,TEN,QB,7,395,56.4,67.1,6.1,0,52.4,52.4,99.74,25.3
BenJarvus Green-Ellis,CIN,RB,16,464,29,41,47.4,1.7,48.3,49.1,115.8,25
Ben Roethlisberger,PIT,QB,16,1052,65.8,100,2.5,0,58,58,260.84,24.8
Chris Johnson,TEN,RB,16,798,49.9,74.2,35,6.5,40.2,41.5,198.2,24.8
Matthew Stafford,DET,QB,16,1133,70.8,99.8,3.2,0,59.1,59.1,279.4,24.7
Calvin Johnson,DET,WR,14,892,63.7,78.6,0,17.5,9.4,17.5,219.2,24.6
Ryan Fitzpatrick,TEN,QB,11,680,61.8,63.3,6.3,0.1,57.9,57.9,166.66,24.5
Terrelle Pryor,OAK,WR,11,588,53.5,56.8,14.1,0,60.4,60.4,143.52,24.4
Darren McFadden,OAK,RB,10,336,33.6,32.4,33.9,7.4,39.3,41.7,81.34,24.2
Cordarrelle Patterson,MIN,WR,16,436,27.2,41.9,2.8,17.7,13.1,20.4,104.7,24
Pierre Thomas,NO,RB,16,564,35.2,50,26.1,14.9,39.7,41,134.2,23.8
Daniel Thomas,MIA,RB,15,348,23.2,33.9,31.3,4.9,35.6,36.2,82.9,23.8
Robert Griffin III,WAS,QB,13,906,69.7,79.2,9.5,0,59.8,59.8,213.02,23.5
Frank Gore,SF,RB,16,744,46.5,75.1,37.1,3.5,39.2,40.6,174.9,23.5
Matt Cassel,MIN,QB,9,459,51,44.1,3.9,0,59.3,59.3,107.98,23.5
Matt Ryan,ATL,QB,16,1065,66.6,98.9,1.6,0,62.7,62.7,248.1,23.3
Ryan Tannehill,MIA,QB,16,1021,63.8,99.4,3.9,0,61.5,61.5,238.32,23.3
Julio Jones,ATL,WR,5,296,59.2,86.3,0.3,19.9,14.2,20.3,68.7,23.2
Ben Tate,HOU,RB,14,481,34.4,48.3,37.6,10.2,44.7,47.8,111.1,23.1
Jason Campbell,CLE,QB,9,502,55.8,45.4,2.8,0,65.9,65.9,115.3,23
Randall Cobb,GB,WR,6,333,55.5,77.8,1.2,14.1,10.5,15.3,75.1,22.6
Case Keenum,HOU,QB,8,461,57.6,41.1,3,0,57.9,57.9,103.6,22.5
Brandon Bolden,NE,RB,12,269,22.4,22.5,20.4,10.8,28.3,31.2,60.3,22.4
Maurice Jones-Drew,JAX,RB,15,647,43.1,61.2,36.2,9.3,43,45.6,144.02,22.3
Peyton Hillis,NYG,RB,7,202,28.9,26.4,36.1,10.4,42.6,46.5,44.3,21.9
Rob Gronkowski,NE,TE,7,383,54.7,39.3,0,17.2,10.2,17.2,83.2,21.7
Scott Tolzien,GB,QB,3,158,52.7,27.7,3.2,0,60.1,60.1,34.18,21.6
Dez Bryant,DAL,WR,16,933,58.3,93.6,0.1,17,10.1,17.1,199.4,21.4
Tom Brady,NE,QB,16,1197,74.8,100,2.8,0,55.2,55.2,251.52,21
Christian Ponder,MIN,QB,9,511,56.8,49.1,6.7,0,53.4,53.4,107.02,20.9
Brandon Marshall,CHI,WR,16,987,61.7,93.4,0,16.6,10.1,16.6,205.5,20.8
Antonio Brown,PIT,WR,16,955,59.7,90.8,0.7,17.4,12.4,18.2,198.9,20.8
Matt McGloin,OAK,QB,7,378,54,36.5,2.9,0,58.7,58.7,78.58,20.8
Jacquizz Rodgers,ATL,RB,15,435,29,40.4,22.3,14.3,34.3,36.6,89.4,20.6
Demaryius Thomas,DEN,WR,16,1106,69.1,91.6,0,12.8,8.3,12.8,227,20.5
Andre Brown,NYG,RB,8,360,45,72.4,38.6,8.1,44.2,46.7,73.5,20.4
Alshon Jeffery,CHI,WR,16,962,60.1,91,1.7,15.5,10.9,17.2,194.6,20.2
Carson Palmer,ARI,QB,16,1081,67.6,99.7,2.5,0,55.4,55.4,217.26,20.1
Tavon Austin,LAR,WR,13,422,32.5,42,2.1,16.4,11.8,18.7,84.9,20.1
Brandon Gibson,MIA,WR,7,252,36,55.6,0,17.1,11.9,17.1,50.6,20.1
Anquan Boldin,SF,WR,16,804,50.2,81.1,0.2,16,10.8,16.3,161,20
Vernon Davis,SF,TE,15,811,54.1,81.8,0,10.4,6.4,10.4,161,19.9
AJ Green,CIN,WR,16,1055,65.9,93.2,0,16.9,9.3,16.9,208.6,19.8
Brandon Weeden,CLE,QB,8,452,56.5,40.9,2.7,0,61.7,61.7,89.64,19.8
Geno Smith,NYJ,QB,16,985,61.6,93.7,7.3,0.1,52.4,52.4,193.74,19.7
EJ Manuel,BUF,QB,10,694,69.4,59.8,7.6,0,51.7,51.7,133.48,19.2
Justin Blackmon,JAX,WR,4,247,61.8,92.9,0.4,19.4,12.1,19.8,47.4,19.2
DeSean Jackson,PHI,WR,16,987,61.7,89.5,0.3,12.8,8.6,13.1,187.4,19
Jermichael Finley,GB,TE,6,252,42,45.7,0,13.5,9.9,13.5,48,19
Mike Glennon,TB,QB,13,842,64.8,81.3,3.2,0,52.6,52.6,158.02,18.8
Jerricho Cotchery,PIT,WR,16,636,39.8,60.5,0.2,11.9,7.4,12.1,119.7,18.8
Willis McGahee,CLE,RB,12,264,22,27.3,52.3,4.2,55.3,56.4,49.7,18.8
Trent Richardson,IND,RB,16,593,37.1,54.8,31.7,8.8,37.6,40.5,109.9,18.5
Doug Martin,TB,RB,6,304,50.7,54.3,41.8,7.9,45.7,49.7,56.2,18.5
Joe Flacco,BAL,QB,16,1128,70.5,99.3,2.4,0,56.8,56.8,207.58,18.4
Eric Decker,DEN,WR,16,1050,65.6,87,0,13,8.3,13,192.8,18.4
Jordan Reed,WAS,TE,9,379,42.1,37.8,0.3,15.6,12.1,15.8,69.7,18.4
T.Y. Hilton,IND,WR,16,759,47.4,70.9,0.3,18.2,11.1,18.4,138.9,18.3
Matt Flynn,GB,QB,7,394,56.3,38.9,5.1,0,55.8,55.8,72.18,18.3
Chad Henne,JAX,QB,15,898,59.9,85,3,0,59,59,161.34,18
Justin Hunter,TEN,WR,14,335,23.9,31.2,0,12.5,5.4,12.5,59.4,17.7
Wes Welker,DEN,WR,13,770,59.2,63.8,0,14.4,9.5,14.4,135.8,17.6
Ted Ginn,CAR,WR,16,502,31.4,48.8,0.8,13.5,8,14.3,88.5,17.6
Eli Manning,NYG,QB,16,986,61.6,96.1,1.8,0,57.7,57.7,170.32,17.3
Andre Johnson,HOU,WR,16,994,62.1,88.7,0,18.2,11,18.2,170.7,17.2
Matt Schaub,HOU,QB,10,610,61,54.4,0.8,0,59.5,59.5,104.8,17.2
Ray Rice,BAL,RB,15,703,46.9,61.9,30.4,10.4,38.7,40.8,120.1,17.1
Vincent Jackson,TB,WR,16,969,60.6,93.5,0.1,16.5,8.2,16.6,164.4,17
Chase Daniel,KC,QB,5,100,20,9.3,15,0,53,53,17.02,17
Denarius Moore,OAK,WR,13,590,45.4,56.9,0,14.6,7.8,14.6,99.5,16.9
Malcom Floyd,LAC,WR,2,88,44,33,0,12.5,6.8,12.5,14.9,16.9
Pierre Garcon,WAS,WR,16,978,61.1,85.5,0.2,18.6,11.8,18.8,164.5,16.8
Bilal Powell,NYJ,RB,16,618,38.6,58.8,28.5,9.2,34.5,37.9,104.1,16.8
Da'Rel Scott,NYG,RB,5,140,28,45.5,14.3,13.6,22.1,27.9,23.5,16.8
Julius Thomas,DEN,TE,14,901,64.4,74.6,0,10,7.2,10,150.8,16.7
Jordy Nelson,GB,WR,16,1083,67.7,96.5,0,11.7,7.8,11.7,179.4,16.6
Marques Colston,NO,WR,15,750,50,66.5,0,14.8,10,14.8,124.3,16.6
Bernard Pierce,BAL,RB,16,398,24.9,35,38.2,6.3,43.2,44.5,66,16.6
Dallas Clark,BAL,TE,12,316,26.3,27.8,0,16.5,9.8,16.5,52.3,16.6
Daryl Richardson,LAR,RB,8,203,25.4,20.2,34,8.9,40.9,42.9,33.6,16.6
Rueben Randle,NYG,WR,16,578,36.1,56.3,0,13.5,7.1,13.5,95.1,16.5
Thaddeus Lewis,BUF,QB,6,356,59.3,45.9,6.7,0,50.8,50.8,58.88,16.5
Golden Tate,SEA,WR,16,762,47.6,75.3,0.4,13,8.8,13.4,122.9,16.1
Mike Tolbert,CAR,FB,16,599,37.4,58.2,16.9,5.5,21.4,22.4,96.5,16.1
Eddie Royal,LAC,WR,15,703,46.9,63.3,0.4,9.5,7.1,10,111.2,15.8
Marcel Reece,OAK,FB,16,505,31.6,48.7,9.1,10.7,15.6,20,79.78,15.8
Zach Ertz,PHI,TE,16,450,28.1,40.8,0,12.4,8,12.4,70.9,15.8
Keenan Allen,LAC,WR,15,944,62.9,85,0,11,7.5,11,148.6,15.7
